event_name,location,event_url,type
Meeet,"Konstanzer Straße 15A, 10707 Berlin",http://meeet.de,coworking_space
Meeet,"Chausseestraße 86, 10115 Berlin",http://meeet.de,coworking_space
Mindspace,"Friedrichstraße 68, 10115 Berlin",http://mindspace.me/de/berlin/,coworking_space
Mitsosis,"Weserstraße 165, 12045 Berlin",http://www.mitosiscoworking.org/,coworking_space
Moonbase,"Märkische Allee 82A, 12681 Berlin ",,coworking_space
Nest Coworking Space,"Görlitzer Str. 52, 10997 Berlin",https://www.cafenest.de/konferenzraum,coworking_space
Noize Fabrik,"Elsenstraße 72, 12059 Berlin",http://www.noizefabrik.com/,coworking_space
Office Club Berlin Prenzlauer Berg,"Pappelallee 78/79, 10437 Berlin",https://www.officeclub.com/berlin-prenzlauer-berg/,coworking_space
OffX,"Am Park 4, 10785 Berlin ",https://www.offx.net/start,coworking_space
Origin Berlin ,"Mittelweg 50, 12053 Berlin ",http://origin.berlin,coworking_space
P1 Premium Office ,"Potsdamer Platz 1, 10785 Berlin",http://www.p1-offices.com,coworking_space
Photocircle,"Monumentenstraße , 10829 Berlin",http://www.photocircle.net/de/blog/co-working-space-monumentenstrase-1/,coworking_space
Primalbase,"Potsdamer Platz 11, 10785 Berlin",https://primalbase.com/en/,coworking_space
Pulsraum,"Kottbusser Damm 25/26, 10967 Berlin",http://coworking.pulsraum.de,coworking_space
Raumstation,"Stendalerstr. 4, 10559 Berlin",http://www.raumstation-berlin.net,coworking_space
Raumteiler Coworking,"Türkenstraße 16, 13349 Berlin",,coworking_space
RED BOK CoWorking,"Herzbergstraße 40-43, 10365 Berlin",https://www.redbok-coworking.de,coworking_space
Regus Am Potsdamer Platz,"Am Potsdamer Platz 10, 10785 Berlin",http://www.regus.de,coworking_space
Regus Stadtquartier,"Friedrichstraße 191, 10117 Berlin",http://www.regus.de,coworking_space
Regus Unter den Linden,"Unter den Linden 2, 10117 Berlin",http://www.regus.de,coworking_space
